Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,40.0,62.0,57.0,59.0,47.0,58.0,74.0,58.0,58.0,90.0,117.0,133.0,138.0,140.0,145.0,142.0,142.0,140.0,140.0,140.0,140.0,140.0,140.0,(1000 MT)
,,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,10.0,10.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,(1000 MT)
,,Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,(1000 MT)
,,Turkey,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,7.0,4.0,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,(1000 MT)
,,Uganda,24.0,24.0,22.0,21.0,22.0,21.0,9.0,7.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,13.0,13.0,13.0,13.0,13.0,14.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,27.0,30.0,36.0,36.0,36.0,36.0,36.0,33.0,11.0,28.0,11.0,16.0,25.0,20.0,20.0,(1000 MT)
,,United Kingdom,74.0,34.0,28.0,17.0,15.0,15.0,15.0,17.0,12.0,15.0,17.0,10.0,10.0,10.0,11.0,14.0,13.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,(1000 MT)
,,United States,72.0,71.0,78.0,125.0,105.0,89.0,53.0,78.0,44.0,52.0,59.0,51.0,78.0,56.0,73.0,99.0,103.0,88.0,90.0,80.0,105.0,85.0,94.0,87.0,88.0,99.0,95.0,106.0,111.0,118.0,122.0,113.0,95.0,122.0,119.0,99.0,88.0,90.0,103.0,95.0,95.0,116.0,102.0,140.0,133.0,123.0,136.0,111.0,128.0,148.0,141.0,117.0,(1000 MT)
,,Vietnam,13.0,12.0,10.0,14.0,14.0,15.0,11.0,13.0,20.0,20.0,14.0,22.0,22.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,15.0,16.0,18.0,22.0,33.0,31.0,36.0,36.0,27.0,31.0,37.0,40.0,40.0,7.0,7.0,7.0,7.0,6.0,7.0,10.0,13.0,13.0,13.0,20.0,21.0,20.0,24.0,24.0,14.0,14.0,15.0,14.0,(1000 MT)
,,Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,(1000 MT)
,,Zimbabwe,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
